employee_id,role,skill_level,gender,age_group,job_level,company_scope,work_location,remote_policy,remote_access_score,remote_flexibility_score,compensation_satisfaction,career_growth_score,work_life_balance_score,sense_of_belonging_score,team_cohesion_score,values_alignment_score,engagement_score,manager_support_score,communication_effectiveness,participates_in_team_events,uses_collab_tools_frequently,stress_level_score,family_life_impact_score,daily_work_hours,weekly_work_hours,overtime_hours_weekly,commute_time_minutes,promotion_received,salary_increase_received,tenure_years,tenure_level,intention_to_leave,actual_turnover,joined_remote_company,current_monthly_salary_eur,expected_monthly_salary_eur,international_offer_salary_eur,salary_gap_eur,salary_gap_percent,benefits_satisfaction_score,health_benefits_score,pension_benefits_score,bonus_satisfaction_score,training_budget_satisfaction,perceived_international_pay_advantage,long_term_stay_intention_score
EMP001,Engineer,Mid,Female,40-49,Junior,Local,Outside Lithuania,Hybrid,2.7,4.3,2.6,1.8,2.9,3.9,4.2,5.0,4.0,4.7,3.3,Yes,Yes,4.0,3.1,6.8,34.0,0.0,15.0,No,No,4.3,4-6 years,Yes,Stayed,No,1818.43,2032.21,2473.96,655.52,36.0,3.0,3.0,3.1,3.8,4.7,4.0,4.0
EMP002,Research Specialist,Expert,Male,30-39,Senior,Local,Lithuania,Mostly On-site,1.9,1.7,2.8,2.5,2.4,3.8,3.3,4.1,3.7,4.1,4.0,No,No,3.4,1.8,9.1,45.6,5.6,50.0,Yes,No,3.9,1-3 years,No,Stayed,No,4398.94,5421.88,6235.93,1836.99,41.8,4.2,3.0,3.9,2.7,2.8,5.0,4.5
EMP003,Research Specialist,Senior,Male,40-49,Mid,Local,Lithuania,Mostly On-site,2.1,2.3,3.6,3.1,2.0,3.4,4.4,3.1,3.2,2.4,3.7,No,Yes,5.0,1.8,7.9,39.4,0.0,19.0,No,No,5.0,4-6 years,No,Stayed,No,3005.7,3238.84,4580.47,1574.77,52.4,4.3,2.7,1.9,2.6,2.2,4.8,3.2
EMP004,Energy Analyst,Senior,Male,30-39,Mid,International,Lithuania,Hybrid,3.5,3.8,3.6,2.7,4.2,4.5,5.0,3.6,3.7,2.5,4.1,Yes,Yes,4.4,2.4,8.9,44.4,4.4,31.0,No,Yes,2.8,1-3 years,No,Stayed,No,2157.33,2465.05,2666.99,509.66,23.6,4.3,4.6,4.2,4.9,4.6,3.6,4.9
EMP005,Energy Analyst,Mid,Female,20-29,Senior,International,Lithuania,Full Remote,4.7,4.8,4.4,2.4,4.3,2.3,2.4,3.4,2.4,1.1,3.4,No,No,1.9,4.9,8.6,42.8,2.8,13.0,No,No,5.7,4-6 years,No,Stayed,No,3916.12,4524.71,5693.74,1777.63,45.4,4.8,3.9,4.5,4.3,4.3,4.3,5.0
EMP006,Project Manager,Senior,Male,50+,Junior,International,Outside Lithuania,Full Remote,3.6,4.6,3.1,2.0,4.6,3.3,2.4,2.8,3.0,3.5,4.3,Yes,Yes,1.0,5.0,8.4,41.8,1.8,7.0,No,Yes,4.3,4-6 years,No,Stayed,No,1938.28,2093.4,2172.26,233.98,12.1,3.9,3.6,3.5,3.1,5.0,3.7,5.0
EMP007,Project Manager,Mid,Male,30-39,Senior,International,Lithuania,Full Remote,4.9,5.0,3.0,2.4,5.0,4.0,3.3,3.3,2.2,3.0,2.8,Yes,Yes,1.8,4.5,8.8,43.9,3.9,3.0,No,Yes,1.6,1-3 years,No,Stayed,No,5735.81,5784.44,7201.67,1465.87,25.6,5.0,4.8,2.6,4.6,4.6,3.5,5.0
EMP008,Project Manager,Mid,Male,20-29,Senior,Local,Outside Lithuania,Mostly On-site,1.8,2.6,2.3,3.1,2.5,2.4,4.0,3.0,2.7,3.0,2.3,Yes,Yes,4.0,2.4,7.8,38.9,0.0,35.0,No,Yes,3.7,1-3 years,Yes,Stayed,No,5200.13,6503.43,5984.16,784.03,15.1,3.1,2.6,3.0,2.9,2.3,4.1,4.0
EMP009,Engineer,Expert,Male,30-39,Manager,International,Lithuania,Hybrid,3.9,4.1,3.8,2.6,4.0,4.2,3.1,3.5,4.9,4.7,4.2,No,Yes,3.3,3.4,8.1,40.3,0.3,32.0,No,No,4.9,4-6 years,No,Stayed,No,4123.19,5242.52,5570.76,1447.57,35.1,2.9,4.6,4.2,2.3,3.1,4.7,4.0
EMP010,Engineer,Mid,Female,40-49,Junior,Local,Lithuania,Mostly On-site,1.8,1.8,2.7,3.8,2.5,4.6,4.3,2.4,3.4,2.8,3.2,Yes,Yes,3.3,2.5,9.3,46.7,6.7,68.0,No,Yes,3.3,1-3 years,No,Stayed,No,2022.89,2376.95,3634.2,1611.31,79.7,3.0,3.4,4.7,3.4,3.2,4.6,2.7
EMP011,Engineer,Mid,Female,40-49,Mid,International,Lithuania,Full Remote,4.8,4.3,2.6,2.3,4.4,3.8,2.9,3.2,3.7,4.1,3.6,No,Yes,2.8,3.9,7.3,36.6,0.0,12.0,No,Yes,4.7,4-6 years,No,Stayed,No,2638.6,3635.1,3239.45,600.86,22.8,3.6,4.6,3.4,3.4,4.4,3.7,3.7
EMP012,Research Specialist,Expert,Female,20-29,Junior,Local,Lithuania,Mostly On-site,3.0,1.2,3.4,3.2,2.3,3.5,4.0,4.1,3.3,3.2,3.6,No,Yes,2.7,1.8,6.2,31.0,0.0,8.0,No,Yes,5.1,4-6 years,No,Left,Yes,1730.23,2130.58,2233.29,503.07,29.1,3.3,3.3,3.9,2.1,2.7,4.2,3.9
EMP013,Energy Analyst,Senior,Male,20-29,Manager,Local,Lithuania,Mostly On-site,2.2,1.7,3.1,2.6,2.6,3.2,4.5,3.2,3.5,3.6,2.9,Yes,Yes,3.3,2.2,9.3,46.4,6.4,63.0,Yes,Yes,4.7,4-6 years,No,Stayed,No,6261.69,7387.11,8848.74,2587.05,41.3,2.6,4.5,3.9,1.9,2.2,4.2,4.1
EMP014,Project Manager,Expert,Female,20-29,Junior,International,Outside Lithuania,Full Remote,4.6,5.0,2.0,2.5,4.8,3.4,2.6,3.3,2.5,3.1,2.6,No,Yes,1.1,4.4,9.2,45.9,5.9,13.0,No,Yes,6.1,4-6 years,No,Stayed,No,1834.17,2578.86,2683.83,849.66,46.3,4.3,4.2,3.3,4.4,3.9,3.8,4.0
EMP015,Energy Analyst,Mid,Female,50+,Junior,International,Lithuania,Full Remote,5.0,5.0,4.4,3.6,5.0,3.0,3.1,3.4,3.5,3.3,3.7,Yes,No,2.9,4.5,7.9,39.6,0.0,6.0,No,No,4.4,4-6 years,No,Stayed,No,1529.78,1859.74,2234.4,704.62,46.1,3.6,3.9,3.3,4.3,4.1,3.0,5.0
EMP016,Engineer,Mid,Male,30-39,Senior,International,Lithuania,Full Remote,4.7,5.0,3.5,1.9,4.8,3.6,3.1,4.1,2.9,3.1,1.9,No,No,3.0,4.3,6.9,34.3,0.0,2.0,No,Yes,3.0,1-3 years,No,Stayed,No,3687.6,3527.68,3776.62,89.02,2.4,3.5,4.5,3.6,3.3,3.7,3.0,4.5
EMP017,Engineer,Expert,Male,20-29,Mid,International,Lithuania,Hybrid,3.4,4.1,3.7,5.0,4.0,2.8,4.0,2.6,4.1,5.0,3.1,Yes,Yes,1.9,3.7,7.8,39.2,0.0,31.0,No,No,5.3,4-6 years,No,Stayed,No,3054.49,3789.86,3608.09,553.6,18.1,4.1,4.2,3.2,3.3,4.2,3.3,5.0
EMP018,Research Specialist,Expert,Male,40-49,Manager,Local,Lithuania,Hybrid,4.3,3.9,2.5,3.3,3.6,3.8,4.7,3.8,3.7,2.5,4.1,No,Yes,3.6,4.1,8.7,43.3,3.3,23.0,No,No,3.3,1-3 years,No,Left,No,5623.4,7070.65,9203.35,3579.96,63.7,3.1,3.6,3.9,3.0,2.6,4.4,3.1
EMP019,Research Specialist,Senior,Male,30-39,Junior,International,Lithuania,Hybrid,3.2,3.8,3.3,3.7,3.0,3.4,4.3,4.0,3.6,3.3,4.7,No,Yes,3.7,2.7,8.7,43.6,3.6,33.0,No,Yes,3.9,1-3 years,No,Stayed,No,1970.23,2586.23,2307.55,337.31,17.1,4.3,5.0,5.0,2.7,4.0,3.4,3.8
EMP020,Research Specialist,Mid,Male,20-29,Senior,International,Lithuania,Full Remote,4.4,4.3,2.8,3.8,3.3,3.3,3.4,3.2,3.9,3.3,3.3,No,Yes,4.1,3.3,8.4,41.9,1.9,4.0,Yes,No,3.8,1-3 years,No,Stayed,No,3946.25,4928.43,4750.36,804.11,20.4,3.8,4.1,3.7,3.4,4.3,3.0,5.0
EMP021,Energy Analyst,Senior,Female,50+,Manager,Local,Lithuania,Hybrid,3.3,5.0,3.6,2.5,3.7,3.7,3.2,4.1,4.0,3.3,5.0,Yes,Yes,3.7,4.3,9.9,49.4,9.4,33.0,No,No,4.7,4-6 years,No,Stayed,No,5083.9,5162.86,7912.66,2828.76,55.6,3.6,2.0,2.9,2.9,1.9,4.0,3.9
EMP022,Project Manager,Expert,Female,40-49,Senior,International,Lithuania,Full Remote,4.4,4.4,3.4,3.4,3.5,4.1,3.6,3.5,2.8,3.7,3.4,No,Yes,3.0,3.8,9.8,49.1,9.1,0.0,No,Yes,2.3,1-3 years,No,Stayed,No,3534.93,4456.74,4325.05,790.13,22.4,3.3,4.3,4.0,3.8,4.6,2.8,4.4
EMP023,Energy Analyst,Expert,Female,30-39,Mid,International,Lithuania,Full Remote,4.8,5.0,3.1,4.3,5.0,2.7,2.8,3.3,3.6,3.1,3.2,Yes,Yes,3.2,4.4,6.7,33.4,0.0,9.0,No,Yes,3.5,1-3 years,No,Stayed,No,2281.06,2533.25,2852.11,571.05,25.0,2.7,4.2,3.2,4.0,4.2,3.8,4.7
EMP024,Project Manager,Senior,Male,30-39,Junior,International,Lithuania,Hybrid,2.9,4.8,3.5,3.8,3.6,4.0,4.8,4.0,3.5,2.3,2.9,No,No,2.3,4.6,8.7,43.3,3.3,12.0,No,Yes,3.4,1-3 years,No,Stayed,No,2390.38,2377.77,2805.97,415.59,17.4,4.1,3.6,3.0,2.7,3.8,4.8,5.0
EMP025,Energy Analyst,Senior,Male,40-49,Manager,International,Lithuania,Hybrid,3.6,2.8,1.2,3.7,3.6,4.6,4.0,4.2,3.7,2.7,4.7,Yes,Yes,3.5,2.1,7.4,36.9,0.0,23.0,No,Yes,5.9,4-6 years,No,Stayed,No,5488.1,6484.85,7873.8,2385.7,43.5,4.3,4.2,5.0,4.6,4.3,3.4,3.9
EMP026,Research Specialist,Expert,Male,40-49,Senior,Local,Lithuania,Mostly On-site,2.1,2.1,2.6,1.9,3.2,2.7,3.3,3.0,3.8,3.3,4.5,Yes,Yes,3.0,2.6,9.1,45.4,5.4,46.0,No,No,3.0,1-3 years,Yes,Stayed,No,3781.52,4713.24,5469.87,1688.35,44.6,3.7,3.7,3.4,2.8,3.0,4.2,4.9
EMP027,Energy Analyst,Senior,Male,40-49,Junior,International,Lithuania,Full Remote,4.7,4.5,4.0,3.9,5.0,1.7,2.2,4.0,3.1,4.4,3.4,Yes,Yes,1.9,4.4,9.4,46.8,6.8,8.0,No,Yes,6.3,4-6 years,No,Stayed,No,2164.96,2677.72,2786.43,621.47,28.7,3.9,3.3,2.9,3.0,4.2,3.8,4.5
EMP028,Research Specialist,Senior,Male,50+,Mid,Local,Lithuania,Hybrid,4.2,4.0,2.9,3.1,3.9,4.2,4.5,3.2,2.7,2.2,4.0,Yes,Yes,2.9,2.8,8.3,41.5,1.5,53.0,No,No,3.2,1-3 years,No,Stayed,No,2937.86,3182.26,4482.51,1544.65,52.6,3.3,3.3,4.1,2.7,3.2,4.5,4.5
EMP029,Engineer,Senior,Male,30-39,Senior,Local,Outside Lithuania,Hybrid,3.2,4.0,1.0,2.9,3.3,3.6,4.1,4.1,3.8,3.2,4.0,Yes,Yes,3.5,3.3,8.9,44.3,4.3,15.0,No,Yes,3.0,1-3 years,Yes,Stayed,No,3881.97,4188.98,5596.82,1714.86,44.2,3.1,2.4,4.0,4.0,2.5,3.3,3.5
EMP030,Engineer,Senior,Male,30-39,Junior,International,Outside Lithuania,Full Remote,3.8,3.9,3.9,2.5,2.4,2.6,3.4,2.2,3.7,3.5,4.0,Yes,No,2.8,3.2,8.2,41.1,1.1,0.0,No,Yes,3.6,1-3 years,No,Stayed,No,1973.51,2559.88,2184.03,210.52,10.7,3.7,3.7,3.7,5.0,3.5,2.6,4.8
EMP031,Research Specialist,Senior,Male,30-39,Mid,Local,Lithuania,Hybrid,3.4,4.0,4.3,2.9,3.5,3.8,3.6,3.2,2.9,2.7,2.4,Yes,Yes,3.4,3.5,8.9,44.4,4.4,25.0,No,Yes,4.1,4-6 years,No,Stayed,No,2950.51,3162.64,3755.41,804.91,27.3,3.3,3.6,2.9,2.2,3.8,4.3,4.7
